formula,lg_conductivity,row_id,split,temperature,feat_n_elements,feat_entropy,feat_max_fraction,feat_min_fraction,feat_anion_fraction,frac_K,frac_Ba,frac_Na,frac_Sr,frac_Li,frac_Ca,frac_La,frac_Ce,frac_Pr,frac_Nd,frac_Sm,frac_Eu,frac_Y,frac_Er,frac_Lu,frac_Hf,frac_Mg,frac_Zr,frac_Sc,frac_Ta,frac_Ti,frac_Mn,frac_Nb,frac_Al,frac_V,frac_Zn,frac_Cr,frac_Cd,frac_In,frac_Ga,frac_Fe,frac_Co,frac_Si,frac_Ni,frac_Ag,frac_Sn,frac_Ge,frac_Bi,frac_B,frac_Sb,frac_Te,frac_Mo,frac_P,frac_H,frac_Ru,frac_W,frac_Se,frac_S,frac_I,frac_Br,frac_N,frac_Cl,frac_O,frac_F,feat_electronegativity_mean,feat_electronegativity_min,feat_electronegativity_max,feat_electronegativity_range,feat_electronegativity_std,feat_atomic_mass_mean,feat_atomic_mass_min,feat_atomic_mass_max,feat_atomic_mass_range,feat_atomic_mass_std,feat_atomic_radius_mean,feat_atomic_radius_min,feat_atomic_radius_max,feat_atomic_radius_range,feat_atomic_radius_std,feat_mendeleev_number_mean,feat_mendeleev_number_min,feat_mendeleev_number_max,feat_mendeleev_number_range,feat_mendeleev_number_std,feat_period_mean,feat_period_min,feat_period_max,feat_period_range,feat_period_std,feat_group_mean,feat_group_min,feat_group_max,feat_group_range,feat_group_std,feat_electron_affinity_mean,feat_electron_affinity_min,feat_electron_affinity_max,feat_electron_affinity_range,feat_electron_affinity_std,feat_avg_cationic_radius_mean,feat_avg_cationic_radius_min,feat_avg_cationic_radius_max,feat_avg_cationic_radius_range,feat_avg_cationic_radius_std,feat_oxidation_state_mean,feat_oxidation_state_min,feat_oxidation_state_max,feat_oxidation_state_range,feat_oxidation_state_std
Li3BN2,-9.79588001734407,10,train,298.0,3,1.0114042647073518,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.8433333333333333,0.98,3.04,2.06,0.9254488400530607,9.941233333333333,6.941,14.0067,7.0657000000000005,3.183727706461231,1.0833333333333335,0.65,1.45,0.7999999999999999,0.3726779962499649,53.66666666666666,12.0,100.0,88.0,41.92718555888159,2.0,2.0,2.0,0.0,0.0,7.666666666666666,1.0,15.0,14.0,6.69991708074726,0.33231181833333334,-0.07,0.61804922,0.6880492199999999,0.3086024259988758,0.6133333333333333,0.28500000000000003,0.9,0.615,0.28967894105179426,1.5555555555555556,1.0,3.0,2.0,0.7114582486036498
Li14Nd5(Si11N19O5)O2F2,-9.76955107862173,11,test,298.0,6,1.606600834921667,0.32758620689655177,0.03448275862068966,0.48275862068965525,0.0,0.0,0.0,0.0,0.24137931034482762,0.0,0.0,0.0,0.0,0.08620689655172416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18965517241379312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32758620689655177,0.0,0.12068965517241381,0.03448275862068966,2.2434482758620686,0.98,3.98,3.0,0.9986414076723021,26.61111045517241,6.941,144.242,137.301,36.800615130342194,1.0206896551724138,0.5,1.85,1.35,0.42507955470008085,70.06896551724137,12.0,102.0,90.0,37.93045454102107,2.5344827586206895,2.0,6.0,4.0,1.1328255373086349,10.586206896551724,1.0,17.0,16.0,6.3789375473550365,0.691811382086207,-0.07,3.401189824,3.4711898239999996,0.7992242444711369,0.530646551724138,0.0,1.2765,1.2765,0.37145942379026026,0.7701149425287355,-2.0,3.0,5.0,1.3606496315137142
(Li0.5Ce0.25Sm0.25)(MoO4),-9.74472749489669,12,train,298.0,5,1.0408500236214475,0.6666666666666666,0.041666666666666664,0.6666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.830416666666667,0.98,3.44,2.46,0.919100462257648,39.33785,6.941,150.36,143.419,43.83273633979707,0.9166666666666669,0.6,1.85,1.25,0.4588633299312068,80.16666666666669,12.0,101.0,89.0,31.368331517985176,2.8333333333333335,2.0,6.0,4.0,1.462494064565354,12.000000000000002,1.0,16.0,15.0,5.787918451395114,1.1818757655833334,0.162,1.461112979,1.299112979,0.4091431561215867,0.30037500000000006,0.0,1.229,1.229,0.43464245962438297,-0.1458333333333333,-2.0,5.0,7.0,2.789411402468668
LiF,-9.733717436,13,train,543.0,2,0.6931471805599453,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.48,0.98,3.98,3.0,1.5,12.969701599999999,6.941,18.9984032,12.0574032,6.0287016,0.975,0.5,1.45,0.95,0.475,57.0,12.0,102.0,90.0,45.0,2.0,2.0,2.0,0.0,0.0,9.0,1.0,17.0,16.0,8.0,2.009619522,0.61804922,3.401189824,2.7831406039999997,1.3915703019999999,0.56,0.22,0.9,0.68,0.34,0.0,-1.0,1.0,2.0,1.0
Li4SiO4,-9.698970004,14,train,298.0,3,0.9649629230074277,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,2.1755555555555555,0.98,3.44,2.46,1.163740245082506,13.316344444444443,6.941,28.0855,21.1445,6.745394901727171,1.0333333333333332,0.6,1.45,0.85,0.4013864859597432,59.666666666666664,12.0,101.0,89.0,42.90040144852312,2.111111111111111,2.0,3.0,1.0,0.3142696805273545,9.11111111111111,1.0,16.0,15.0,7.279261935181866,1.0784633417777776,0.61804922,1.461112979,0.843063759,0.412359696614209,0.45999999999999996,0.0,0.9,0.9,0.425205832509386,-0.4444444444444444,-2.0,1.0,3.0,1.4229164972072998
Li3BiO3,-9.61978875828839,15,train,298.0,3,1.0042424730540764,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,2.182857142857143,0.98,3.44,2.46,1.1406979603447591,39.68594285714286,6.941,208.9804,202.0394,69.24125938135971,1.107142857142857,0.6,1.6,1.0,0.441934522807372,60.857142857142854,12.0,101.0,89.0,42.55896270026384,2.571428571428571,2.0,6.0,4.0,1.3997084244475304,9.428571428571427,1.0,16.0,15.0,7.306692487168241,1.0256926752857143,0.61804922,1.461112979,0.843063759,0.39174263824778877,0.5335714285714285,0.0,1.035,1.035,0.46419449653377504,0.0,-2.0,3.0,5.0,1.8516401995451028
Li6NiCl8,-9.569675406,16,train,298.0,3,0.8823109245150755,0.5333333333333333,0.06666666666666667,0.5333333333333333,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,2.2046666666666668,0.98,3.16,2.18,1.0452104519611776,25.59756,6.941,58.6934,51.752399999999994,16.249667878156774,1.2033333333333334,1.0,1.45,0.44999999999999996,0.2186829262247563,62.06666666666666,12.0,99.0,87.0,41.614847777632875,2.666666666666667,2.0,4.0,2.0,0.5962847939999439,10.133333333333333,1.0,17.0,16.0,7.649546101276569,2.251150584,0.61804922,3.61272528,2.9946760599999998,1.4612783988730917,0.588,0.33499999999999996,0.9,0.5650000000000001,0.2731592941856455,2.1333333333333333,1.0,3.0,2.0,0.9568466729604883
LiCrSb(PO4)3,-9.447331784,17,test,303.0,5,1.0506652765928128,0.6666666666666666,0.05555555555555555,0.6666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.918888888888889,0.98,3.44,2.46,0.7800134535085411,25.86728811111111,6.941,121.76,114.819,25.257630532188564,0.8055555555555557,0.6,1.45,0.85,0.31661792997277793,91.05555555555556,12.0,101.0,89.0,21.869492251948255,2.4444444444444446,2.0,5.0,3.0,0.8314794192830981,14.388888888888891,1.0,16.0,15.0,3.960062974932608,1.2285867643333335,0.61804922,1.461112979,0.843063759,0.3380289583799947,0.24000000000000002,0.0,0.94,0.94,0.3538047170089424,-0.6574074074074074,-2.0,4.5,6.5,2.008064160709358
Li3BiO4,-9.38721614328026,18,train,298.0,3,0.9743147528693494,0.5,0.125,0.5,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.34,0.98,3.44,2.46,1.1451637437502113,36.725125,6.941,208.9804,202.0394,65.24126836067317,1.04375,0.6,1.6,1.0,0.4461204293685731,65.875,12.0,101.0,89.0,41.96557368844134,2.5,2.0,6.0,4.0,1.3228756555322954,10.25,1.0,16.0,15.0,7.171994143890526,1.0801202132499998,0.61804922,1.461112979,0.843063759,0.393720720836035,0.46687500000000004,0.0,1.035,1.035,0.4687012474647363,-0.25,-2.0,3.0,5.0,1.8540496217739157
Sm0.25Li0.25TaO3,-9.36451625318509,19,train,298.0,4,0.9257019111219666,0.6666666666666666,0.05555555555555555,0.6666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,2.746111111111111,0.98,3.44,2.46,0.9886081062050427,59.615851111111105,6.941,180.94788,174.00688,71.77268248693176,0.9055555555555554,0.6,1.85,1.25,0.4406084457532967,81.11111111111111,12.0,101.0,89.0,29.56516134628896,3.1111111111111107,2.0,6.0,4.0,1.7916128329552332,11.999999999999998,1.0,16.0,15.0,5.725188012439223,1.090491216,0.162,1.461112979,1.299112979,0.5298823978895683,0.3005,0.0,1.229,1.229,0.4336304430169901,2.220446049250313e-16,-2.0,5.0,7.0,2.9627314724385294
